end_gy,peak_velocity,sd,end_gx,type,start_gy,mean_gx,end_time,start_gx,amplitude,blink_id,rms,duration,mean_gy,start_time,end_point
,,,,blink,,,624178.424393,,,358.0,,,,624178.2729344999,
,,,,blink,,,624179.5368619999,,,359.0,,,,624179.3746795,
,,,,blink,,,624180.575784,,,360.0,,,,624180.303906,
,,,,blink,,,624182.8473365,,,361.0,,,,624182.6978394999,
,,,,blink,,,624184.632686,,,362.0,,,,624184.4820185,
,,,,blink,,,624185.1708869999,,,363.0,,,,624185.0273094999,
,,,,blink,,,624187.7515819999,,,364.0,,,,624187.608635,
,,,,blink,,,624187.97902,,,365.0,,,,624187.8772195,
,,,,blink,,,624188.1682875,,,366.0,,,,624188.066692,
,,,,blink,,,624189.512026,,,367.0,,,,624189.3718514999,
,,,,blink,,,624190.5615755001,,,368.0,,,,624190.4151900001,
,,,,blink,,,624191.211822,,,369.0,,,,624191.067916,
,,,,blink,,,624192.497012,,,370.0,,,,624192.3369275,
,,,,blink,,,624192.8966939999,,,371.0,,,,624192.735815,
,,,,blink,,,624194.57323,,,372.0,,,,624194.4546675,
,,,,blink,,,624195.058251,,,373.0,,,,624194.9071755,
,,,,blink,,,624195.827228,,,374.0,,,,624195.6727229999,
,,,,blink,,,624197.01842,,,375.0,,,,624196.7674100001,
,,,,blink,,,624197.389213,,,376.0,,,,624197.247218,
,,,,blink,,,624197.726759,,,377.0,,,,624197.5795084999,
,,,,blink,,,624197.875492,,,378.0,,,,624197.79986,
,,,,blink,,,624198.5548309999,,,379.0,,,,624198.4101664999,
,,,,blink,,,624200.173804,,,380.0,,,,624199.9971815,
,,,,blink,,,624200.407708,,,381.0,,,,624200.321806,
,,,,blink,,,624201.283934,,,382.0,,,,624201.0468935,
,,,,blink,,,624202.274581,,,383.0,,,,624202.1306385,
,,,,blink,,,624203.582816,,,384.0,,,,624203.4437945,
,,,,blink,,,624204.9293135,,,385.0,,,,624204.7877055,
,,,,blink,,,624206.2173329999,,,386.0,,,,624206.0823794999,
,,,,blink,,,624207.038328,,,387.0,,,,624206.895851,
,,,,blink,,,624207.3502044999,,,388.0,,,,624207.2127575,
,,,,blink,,,624208.2833245,,,389.0,,,,624208.152727,
,,,,blink,,,624208.951959,,,390.0,,,,624208.8170235,
,,,,blink,,,624210.4443585,,,391.0,,,,624210.3066044999,
,,,,blink,,,624211.958523,,,392.0,,,,624211.77021,
,,,,blink,,,624213.045936,,,393.0,,,,624212.8648204999,
,,,,blink,,,624214.6854379999,,,394.0,,,,624214.542579,
,,,,blink,,,624216.0763155,,,395.0,,,,624215.9399194999,
,,,,blink,,,624217.6646405,,,396.0,,,,624217.5374109999,
