start_gx,end_gx,blink_id,end_time,end_gy,mean_gx,mean_gy,sd,duration,rms,start_time,type,start_gy,amplitude,peak_velocity,end_point
,,308.0,624127.8110435,,,,,,,624127.505232,blink,,,,
,,309.0,624127.995073,,,,,,,624127.857622,blink,,,,
,,310.0,624129.686578,,,,,,,624129.5544385,blink,,,,
,,311.0,624130.7443365001,,,,,,,624130.6016945001,blink,,,,
,,312.0,624131.167522,,,,,,,624131.020971,blink,,,,
,,313.0,624132.6024065,,,,,,,624132.4649624999,blink,,,,
,,314.0,624133.930106,,,,,,,624133.7892509999,blink,,,,
,,315.0,624135.577332,,,,,,,624135.448115,blink,,,,
,,316.0,624137.2596135,,,,,,,624137.117843,blink,,,,
,,317.0,624138.113917,,,,,,,624137.964022,blink,,,,
,,318.0,624138.9231664999,,,,,,,624138.762838,blink,,,,
,,319.0,624139.8478205,,,,,,,624139.7158685001,blink,,,,
,,320.0,624140.9167239999,,,,,,,624140.78525,blink,,,,
,,321.0,624142.583036,,,,,,,624142.44216,blink,,,,
,,322.0,624143.055902,,,,,,,624142.920776,blink,,,,
,,323.0,624143.410225,,,,,,,624143.249722,blink,,,,
,,324.0,624144.649824,,,,,,,624144.503422,blink,,,,
,,325.0,624144.951704,,,,,,,624144.805251,blink,,,,
,,326.0,624145.3565285,,,,,,,624145.208823,blink,,,,
,,327.0,624145.695741,,,,,,,624145.569502,blink,,,,
,,328.0,624147.5677135,,,,,,,624147.4414695,blink,,,,
,,329.0,624148.460923,,,,,,,624148.2689115,blink,,,,
,,330.0,624148.707585,,,,,,,624148.610442,blink,,,,
,,331.0,624149.035906,,,,,,,624148.873911,blink,,,,
,,332.0,624149.5294850001,,,,,,,624149.4338875,blink,,,,
,,333.0,624151.101545,,,,,,,624150.9872345,blink,,,,
,,334.0,624152.515122,,,,,,,624152.3309565,blink,,,,
,,335.0,624153.7487085001,,,,,,,624153.605883,blink,,,,
,,336.0,624154.001616,,,,,,,624153.875396,blink,,,,
,,337.0,624155.081074,,,,,,,624154.921247,blink,,,,
,,338.0,624155.9653,,,,,,,624155.8058835,blink,,,,
,,339.0,624157.023913,,,,,,,624156.865192,blink,,,,
,,340.0,624158.21693,,,,,,,624158.0557655,blink,,,,
