end_gx,type,sd,start_gx,mean_gx,rms,amplitude,mean_gy,end_time,blink_id,duration,start_time,end_gy,start_gy,peak_velocity,end_point
,blink,,,,,,,843501.3700824999,362.0,,843501.301067,,,,
,blink,,,,,,,843501.994888,363.0,,843501.9020125,,,,
,blink,,,,,,,843502.4468195,364.0,,843502.2992295,,,,
,blink,,,,,,,843502.935079,365.0,,843502.808642,,,,
,blink,,,,,,,843503.6437405,366.0,,843503.5072945,,,,
,blink,,,,,,,843504.36366,367.0,,843504.196392,,,,
,blink,,,,,,,843504.9674714999,368.0,,843504.8571745,,,,
,blink,,,,,,,843506.064292,369.0,,843505.9590155,,,,
,blink,,,,,,,843507.826152,370.0,,843507.3446289999,,,,
,blink,,,,,,,843509.1740369999,371.0,,843509.020577,,,,
,blink,,,,,,,843509.905221,372.0,,843509.780503,,,,
,blink,,,,,,,843513.130151,373.0,,843512.9566734999,,,,
-244.39256225225373,saccade,,-0.09324401149971862,,,99.89486635861438,,842890.9097913323,,0.9041666666666667,842890.0041733547,-1508.9505865729413,-2.166552973805988,4492.052790087572,
-2.514875660064281,saccade,,-23.31215458230331,,,26.061463635615223,,842891.055858748,,0.020833333333333332,842891.0349919744,-1.8820417004093681,-18.10208625611981,2410.409906960849,
-20.911897696775814,saccade,,0.13361632598057413,,,26.78975023450953,,842891.0934189406,,0.025,842891.0683788122,-16.167725405138583,0.7928002202049493,5840.770418663678,
-5.439792433569487,saccade,,0.31577041146341545,,,7.310685670304544,,842891.1476725521,,0.029166666666666667,842891.118459069,-4.3339801699506095,0.18017186860832243,3278.342448664391,
0.49422753402019487,saccade,,0.4954448879971207,,,1.0045369418095698,,842891.8571428572,,0.008333333333333333,842891.8487961476,0.770017636792123,1.7745913070411903,257.6617818070488,
0.48859754992372045,saccade,,0.49527330604009945,,,0.02160111582477362,,842891.890529695,,0.029166666666666667,842891.8613162119,-0.19671991276495168,-0.2172643426505919,1620.7447031513866,
0.3658216569368944,saccade,,0.0,,,10.210151173491328,,842891.9113964688,,0.0125,842891.8988764045,10.203664992114025,0.0,2501.271760053439,
0.49894134401194756,saccade,,0.4878236127105346,,,0.6329380471805663,,842894.7033707865,,0.020833333333333332,842894.6825040128,0.2837866432969436,-0.3490772184543037,559.2945055324226,
0.5839273918852339,saccade,,0.9185768403884539,,,0.6315489944826098,,842902.9332263243,,0.008333333333333333,842902.9248796147,0.6705899301607636,1.2062334858454749,186.66140250383373,
1.4771034375454661,saccade,,0.0915667044676027,,,2.5280562213829594,,842902.9582664527,,0.0125,842902.9457463884,2.0980095054305283,-0.016798383319253627,1138.0477736111739,
0.49856272395983275,saccade,,2.2631720426113118,,,3.2301052722227004,,842902.9749598716,,0.008333333333333333,842902.9666131621,0.6069621297223617,3.313356055440712,770.0089822855787,
1.5383771719507242,saccade,,2.2906148447690606,,,1.3783349230719115,,842902.9958266453,,0.016666666666666666,842902.9791332263,2.2019010583308254,3.357520121069961,889.8267751795152,
0.6542367608801387,saccade,,0.10396735112992925,,,1.0040421225385534,,842903.0292134831,,0.020833333333333332,842903.0083467094,0.8464071865314091,0.006561687729520547,675.2454990296335,
0.23909809897379625,saccade,,0.2619965169360441,,,0.04263001344623114,,842905.9422150883,,0.016666666666666666,842905.9255216693,-0.14031312712935473,-0.1762715092390561,222.2101614439167,
0.1329314609038585,saccade,,0.12195971117614354,,,0.19677225390043063,,842905.9756019262,,0.025,842905.9505617977,0.642482316770528,0.8389489340571961,508.07256522842243,
0.5280939364992268,saccade,,0.1877689794721524,,,0.8764401146686449,,842906.0006420546,,0.020833333333333332,842905.9797752809,1.7273149803387065,0.9196308990115454,517.8750654118005,
0.17754179156299488,saccade,,0.8287750286269531,,,1.1996218908349778,,842906.0340288924,,0.0125,842906.0215088283,0.9070923974017612,1.9146027765312579,226.71348465332753,
0.6225175509764344,saccade,,0.42928894690801195,,,1.0143409520522642,,842906.071589085,,0.03333333333333333,842906.0382022472,1.5953533780817706,0.5995447830534165,7248.212295423497,
0.3324236769729433,saccade,,0.2086981802970045,,,0.3487722183497828,,842907.4780096308,,0.008333333333333333,842907.4696629214,0.3138205241649572,0.6399132629233584,112.23181296912753,
